IdForma,Stats,Valor (base)
60 - A,Sp Atk,40
60 - A,Sp Def,40
60 - A,Spd,90
61 - A,Hp,65
61 - A,Atk,65
61 - A,Def,65
61 - A,Sp Atk,50
61 - A,Sp Def,50
61 - A,Spd,90
62 - A,Hp,90
62 - A,Atk,95
62 - A,Def,95
62 - A,Sp Atk,70
62 - A,Sp Def,90
62 - A,Spd,70
63 - A,Hp,25
63 - A,Atk,20
63 - A,Def,15
63 - A,Sp Atk,105
63 - A,Sp Def,55
63 - A,Spd,90
64 - A,Hp,40
64 - A,Atk,35
64 - A,Def,30
64 - A,Sp Atk,120
64 - A,Sp Def,70
64 - A,Spd,105
65 - A,Hp,55
65 - A,Atk,50
65 - A,Def,45
65 - A,Sp Atk,135
65 - A,Sp Def,95
65 - A,Spd,120
66 - A,Hp,70
66 - A,Atk,80
66 - A,Def,50
66 - A,Sp Atk,35
66 - A,Sp Def,35
66 - A,Spd,35
67 - A,Hp,80
67 - A,Atk,100
67 - A,Def,70
67 - A,Sp Atk,50
67 - A,Sp Def,60
67 - A,Spd,45
68 - A,Hp,90
68 - A,Atk,130
68 - A,Def,80
68 - A,Sp Atk,65
68 - A,Sp Def,85
68 - A,Spd,55
69 - A,Hp,50
69 - A,Atk,75
69 - A,Def,35
69 - A,Sp Atk,70
69 - A,Sp Def,30
69 - A,Spd,40
70 - A,Hp,65
70 - A,Atk,90
70 - A,Def,50
70 - A,Sp Atk,85
70 - A,Sp Def,45
70 - A,Spd,55
71 - A,Hp,80
71 - A,Atk,105
71 - A,Def,65
71 - A,Sp Atk,100
71 - A,Sp Def,70
71 - A,Spd,70
72 - A,Hp,40
72 - A,Atk,40
72 - A,Def,35
72 - A,Sp Atk,50
72 - A,Sp Def,100
72 - A,Spd,70
73 - A,Hp,80
73 - A,Atk,70
73 - A,Def,65
73 - A,Sp Atk,80
73 - A,Sp Def,120
73 - A,Spd,100
74 - A,Hp,40
74 - A,Atk,80
74 - A,Def,100
74 - A,Sp Atk,30
74 - A,Sp Def,30
74 - A,Spd,20
74 - B,Hp,40
74 - B,Atk,80
74 - B,Def,100
74 - B,Sp Atk,30
74 - B,Sp Def,30
74 - B,Spd,20
75 - A,Hp,55
75 - A,Atk,95
75 - A,Def,115
75 - A,Sp Atk,45
75 - A,Sp Def,45
75 - A,Spd,35
75 - B,Hp,55
75 - B,Atk,95
75 - B,Def,115
75 - B,Sp Atk,45
75 - B,Sp Def,45
75 - B,Spd,35
76 - A,Hp,80
76 - A,Atk,120
76 - A,Def,130
76 - A,Sp Atk,55
76 - A,Sp Def,65
76 - A,Spd,45
76 - B,Hp,80
76 - B,Atk,120
76 - B,Def,130
76 - B,Sp Atk,55
76 - B,Sp Def,65
76 - B,Spd,45
77 - A,Hp,50
77 - A,Atk,85
77 - A,Def,55
77 - A,Sp Atk,65
77 - A,Sp Def,65
77 - A,Spd,90
77 - B,Hp,50
77 - B,Atk,85
77 - B,Def,55
77 - B,Sp Atk,65
77 - B,Sp Def,65
77 - B,Spd,90
78 - A,Hp,65
78 - A,Atk,100
78 - A,Def,70
78 - A,Sp Atk,80
78 - A,Sp Def,80
78 - A,Spd,105
78 - B,Hp,65
78 - B,Atk,100
78 - B,Def,70
78 - B,Sp Atk,80
78 - B,Sp Def,80
78 - B,Spd,105
79 - A,Hp,90
79 - A,Atk,65
79 - A,Def,65
79 - A,Sp Atk,40
79 - A,Sp Def,40
79 - A,Spd,15
79 - B,Hp,90
79 - B,Atk,65
79 - B,Def,65
79 - B,Sp Atk,40
79 - B,Sp Def,40
79 - B,Spd,15
80 - A,Hp,95
80 - A,Atk,75
80 - A,Def,110
80 - A,Sp Atk,100
80 - A,Sp Def,80
80 - A,Spd,30
80 - B,Hp,95
80 - B,Atk,100
80 - B,Def,95
80 - B,Sp Atk,100
80 - B,Sp Def,70
80 - B,Spd,30
81 - A,Hp,25
81 - A,Atk,35
81 - A,Def,70
81 - A,Sp Atk,95
81 - A,Sp Def,55
81 - A,Spd,45
82 - A,Hp,50
82 - A,Atk,60
82 - A,Def,95
82 - A,Sp Atk,120
82 - A,Sp Def,70
82 - A,Spd,70
83 - A,Hp,52
83 - A,Atk,90
83 - A,Def,55
83 - A,Sp Atk,58
83 - A,Sp Def,62
83 - A,Spd,60
83 - B,Hp,52
83 - B,Atk,95
83 - B,Def,55
83 - B,Sp Atk,58
83 - B,Sp Def,62
83 - B,Spd,55
84 - A,Hp,35
84 - A,Atk,85
84 - A,Def,45
84 - A,Sp Atk,35
84 - A,Sp Def,35
84 - A,Spd,75
85 - A,Hp,60
85 - A,Atk,110
85 - A,Def,70
85 - A,Sp Atk,60
85 - A,Sp Def,60
85 - A,Spd,110
86 - A,Hp,65
86 - A,Atk,45
86 - A,Def,55
86 - A,Sp Atk,45
86 - A,Sp Def,70
86 - A,Spd,45
87 - A,Hp,90
87 - A,Atk,70
87 - A,Def,80
87 - A,Sp Atk,70
87 - A,Sp Def,95
87 - A,Spd,70
88 - A,Hp,80
88 - A,Atk,80
88 - A,Def,50
88 - A,Sp Atk,40
88 - A,Sp Def,50
88 - A,Spd,25
88 - B,Hp,80
88 - B,Atk,80
88 - B,Def,50
88 - B,Sp Atk,40
88 - B,Sp Def,50
88 - B,Spd,25
89 - A,Hp,105
89 - A,Atk,105
89 - A,Def,75
89 - A,Sp Atk,65
89 - A,Sp Def,100
89 - A,Spd,50
89 - B,Hp,105
89 - B,Atk,105
89 - B,Def,75
89 - B,Sp Atk,65
89 - B,Sp Def,100
89 - B,Spd,50
90 - A,Hp,30
90 - A,Atk,65
90 - A,Def,100
90 - A,Sp Atk,45
90 - A,Sp Def,25
90 - A,Spd,40
91 - A,Hp,50
91 - A,Atk,95
91 - A,Def,180
91 - A,Sp Atk,85
91 - A,Sp Def,45
91 - A,Spd,70
92 - A,Hp,30
92 - A,Atk,35
92 - A,Def,30
92 - A,Sp Atk,100
92 - A,Sp Def,35
92 - A,Spd,80
93 - A,Hp,45
93 - A,Atk,50
93 - A,Def,45
93 - A,Sp Atk,115
93 - A,Sp Def,55
93 - A,Spd,95
94 - A,Hp,60
94 - A,Atk,65
94 - A,Def,60
94 - A,Sp Atk,130
94 - A,Sp Def,75
94 - A,Spd,110
95 - A,Hp,35
95 - A,Atk,45
95 - A,Def,160
95 - A,Sp Atk,30
95 - A,Sp Def,45
95 - A,Spd,70
96 - A,Hp,60
96 - A,Atk,48
96 - A,Def,45
96 - A,Sp Atk,43
96 - A,Sp Def,90
96 - A,Spd,42
97 - A,Hp,85
97 - A,Atk,73
97 - A,Def,70
97 - A,Sp Atk,73
97 - A,Sp Def,115
97 - A,Spd,67
98 - A,Hp,30
98 - A,Atk,105
98 - A,Def,90
98 - A,Sp Atk,25
98 - A,Sp Def,25
98 - A,Spd,50
99 - A,Hp,55
99 - A,Atk,130
99 - A,Def,115
99 - A,Sp Atk,50
99 - A,Sp Def,50
99 - A,Spd,75
100 - A,Hp,40
100 - A,Atk,30
100 - A,Def,50
100 - A,Sp Atk,55
100 - A,Sp Def,55
100 - A,Spd,100
100 - B,Hp,40
100 - B,Atk,30
100 - B,Def,50
100 - B,Sp Atk,55
100 - B,Sp Def,55
100 - B,Spd,100
101 - A,Hp,60
101 - A,Atk,50
101 - A,Def,70
101 - A,Sp Atk,80
101 - A,Sp Def,80
101 - A,Spd,150
101 - B,Hp,60
101 - B,Atk,50
101 - B,Def,70
101 - B,Sp Atk,80
101 - B,Sp Def,80
101 - B,Spd,150
102 - A,Hp,60
102 - A,Atk,40
102 - A,Def,80
102 - A,Sp Atk,60
102 - A,Sp Def,45
102 - A,Spd,40
103 - A,Hp,95
103 - A,Atk,95
103 - A,Def,85
103 - A,Sp Atk,125
103 - A,Sp Def,75
103 - A,Spd,55
103 - B,Hp,95
103 - B,Atk,105
103 - B,Def,85
103 - B,Sp Atk,125
103 - B,Sp Def,75
103 - B,Spd,45
104 - A,Hp,50
104 - A,Atk,50
104 - A,Def,95
104 - A,Sp Atk,40
104 - A,Sp Def,50
104 - A,Spd,35
105 - A,Hp,60
105 - A,Atk,80
105 - A,Def,110
105 - A,Sp Atk,50
105 - A,Sp Def,80
105 - A,Spd,45
105 - B,Hp,60
105 - B,Atk,80
105 - B,Def,110
105 - B,Sp Atk,50
105 - B,Sp Def,80
105 - B,Spd,45
106 - A,Hp,50
106 - A,Atk,120
106 - A,Def,53
106 - A,Sp Atk,35
106 - A,Sp Def,110
106 - A,Spd,87
107 - A,Hp,50
107 - A,Atk,105
107 - A,Def,79
107 - A,Sp Atk,35
107 - A,Sp Def,110
107 - A,Spd,76
108 - A,Hp,90
108 - A,Atk,55
108 - A,Def,75
108 - A,Sp Atk,60
108 - A,Sp Def,75
108 - A,Spd,30
109 - A,Hp,40
109 - A,Atk,65
109 - A,Def,95
109 - A,Sp Atk,60
109 - A,Sp Def,45
109 - A,Spd,35
110 - A,Hp,65
110 - A,Atk,90
110 - A,Def,120
110 - A,Sp Atk,85
110 - A,Sp Def,70
110 - A,Spd,60
110 - B,Hp,65
110 - B,Atk,90
110 - B,Def,120
110 - B,Sp Atk,85
110 - B,Sp Def,70
110 - B,Spd,60
111 - A,Hp,80
111 - A,Atk,85
111 - A,Def,95
111 - A,Sp Atk,30
111 - A,Sp Def,30
111 - A,Spd,25
112 - A,Hp,105
112 - A,Atk,130
112 - A,Def,120
112 - A,Sp Atk,45
112 - A,Sp Def,45
112 - A,Spd,40
113 - A,Hp,250
113 - A,Atk,5
113 - A,Def,5
113 - A,Sp Atk,35
113 - A,Sp Def,105
113 - A,Spd,50
114 - A,Hp,65
114 - A,Atk,55
114 - A,Def,115
114 - A,Sp Atk,100
114 - A,Sp Def,40
114 - A,Spd,60
115 - A,Hp,105
115 - A,Atk,95
115 - A,Def,80
115 - A,Sp Atk,40
115 - A,Sp Def,80
115 - A,Spd,90
116 - A,Hp,30
116 - A,Atk,40
116 - A,Def,70
116 - A,Sp Atk,70
116 - A,Sp Def,25
116 - A,Spd,60
117 - A,Hp,55
117 - A,Atk,65
117 - A,Def,95
117 - A,Sp Atk,95
117 - A,Sp Def,45
117 - A,Spd,85
118 - A,Hp,45
118 - A,Atk,67
118 - A,Def,60
118 - A,Sp Atk,35
118 - A,Sp Def,50
118 - A,Spd,63
119 - A,Hp,80
119 - A,Atk,92
119 - A,Def,65
119 - A,Sp Atk,65
119 - A,Sp Def,80
119 - A,Spd,68
120 - A,Hp,30
120 - A,Atk,45
120 - A,Def,55
120 - A,Sp Atk,70
120 - A,Sp Def,55
120 - A,Spd,85
121 - A,Hp,60
121 - A,Atk,75
121 - A,Def,85
121 - A,Sp Atk,100
121 - A,Sp Def,85
121 - A,Spd,115
122 - A,Hp,40
122 - A,Atk,45
122 - A,Def,65
122 - A,Sp Atk,100
122 - A,Sp Def,120
122 - A,Spd,90
122 - B,Hp,50
122 - B,Atk,65
122 - B,Def,65
122 - B,Sp Atk,90
122 - B,Sp Def,90
122 - B,Spd,100
123 - A,Hp,70
123 - A,Atk,110
123 - A,Def,80
123 - A,Sp Atk,55
123 - A,Sp Def,80
123 - A,Spd,105
124 - A,Hp,65
124 - A,Atk,50
124 - A,Def,35
124 - A,Sp Atk,115
124 - A,Sp Def,95
124 - A,Spd,95
125 - A,Hp,65
125 - A,Atk,83
125 - A,Def,57
125 - A,Sp Atk,95
125 - A,Sp Def,85
125 - A,Spd,105
126 - A,Hp,65
126 - A,Atk,95
126 - A,Def,57
126 - A,Sp Atk,100
126 - A,Sp Def,85
126 - A,Spd,93
127 - A,Hp,65
127 - A,Atk,125
127 - A,Def,100
127 - A,Sp Atk,55
127 - A,Sp Def,70
127 - A,Spd,85
128 - A,Hp,75
128 - A,Atk,100
128 - A,Def,95
128 - A,Sp Atk,40
128 - A,Sp Def,70
128 - A,Spd,110
128 - B,Hp,75
128 - B,Atk,110
128 - B,Def,105
128 - B,Sp Atk,30
128 - B,Sp Def,70
128 - B,Spd,100
128 - C,Hp,75
128 - C,Atk,110
128 - C,Def,105
128 - C,Sp Atk,30
128 - C,Sp Def,70
128 - C,Spd,100
128 - D,Hp,75
128 - D,Atk,110
128 - D,Def,105
128 - D,Sp Atk,30
128 - D,Sp Def,70
128 - D,Spd,100
129 - A,Hp,20
129 - A,Atk,10
129 - A,Def,55
129 - A,Sp Atk,15
129 - A,Sp Def,20
129 - A,Spd,80
130 - A,Hp,95
130 - A,Atk,125
130 - A,Def,79
130 - A,Sp Atk,60
130 - A,Sp Def,100
130 - A,Spd,81
131 - A,Hp,130
131 - A,Atk,85
131 - A,Def,80
131 - A,Sp Atk,85
131 - A,Sp Def,95
131 - A,Spd,60
132 - A,Hp,48
132 - A,Atk,48
132 - A,Def,48
132 - A,Sp Atk,48
132 - A,Sp Def,48
132 - A,Spd,48
133 - A,Hp,55
133 - A,Atk,55
133 - A,Def,50
133 - A,Sp Atk,45
133 - A,Sp Def,65
133 - A,Spd,55
134 - A,Hp,130
134 - A,Atk,65
134 - A,Def,60
134 - A,Sp Atk,110
134 - A,Sp Def,95
134 - A,Spd,65
135 - A,Hp,65
135 - A,Atk,65
135 - A,Def,60
135 - A,Sp Atk,110
135 - A,Sp Def,95
135 - A,Spd,130
136 - A,Hp,65
136 - A,Atk,130
136 - A,Def,60
136 - A,Sp Atk,95
136 - A,Sp Def,110
136 - A,Spd,65
137 - A,Hp,65
137 - A,Atk,60
137 - A,Def,70
137 - A,Sp Atk,85
137 - A,Sp Def,75
137 - A,Spd,40
138 - A,Hp,35
138 - A,Atk,40
138 - A,Def,100
138 - A,Sp Atk,90
138 - A,Sp Def,55
138 - A,Spd,35
139 - A,Hp,70
139 - A,Atk,60
139 - A,Def,125
139 - A,Sp Atk,115
139 - A,Sp Def,70
139 - A,Spd,55
140 - A,Hp,30
140 - A,Atk,80
140 - A,Def,90
140 - A,Sp Atk,55
140 - A,Sp Def,45
140 - A,Spd,55
141 - A,Hp,60
141 - A,Atk,115
141 - A,Def,105
141 - A,Sp Atk,65
141 - A,Sp Def,70
141 - A,Spd,80
142 - A,Hp,80
142 - A,Atk,105
142 - A,Def,65
142 - A,Sp Atk,60
142 - A,Sp Def,75
142 - A,Spd,130
143 - A,Hp,160
143 - A,Atk,110
143 - A,Def,65
143 - A,Sp Atk,65
143 - A,Sp Def,110
143 - A,Spd,30
144 - A,Hp,90
144 - A,Atk,85
144 - A,Def,100
144 - A,Sp Atk,95
144 - A,Sp Def,125
144 - A,Spd,85
144 - B,Hp,90
144 - B,Atk,85
144 - B,Def,85
144 - B,Sp Atk,125
144 - B,Sp Def,100
144 - B,Spd,95
145 - A,Hp,90
145 - A,Atk,90
145 - A,Def,85
145 - A,Sp Atk,125
145 - A,Sp Def,90
145 - A,Spd,100
145 - B,Hp,90
145 - B,Atk,125
145 - B,Def,90
145 - B,Sp Atk,85
145 - B,Sp Def,90
145 - B,Spd,100
146 - A,Hp,90
146 - A,Atk,100
146 - A,Def,90
146 - A,Sp Atk,125
146 - A,Sp Def,85
146 - A,Spd,90
146 - B,Hp,90
146 - B,Atk,85
146 - B,Def,90
146 - B,Sp Atk,100
146 - B,Sp Def,125
146 - B,Spd,90
147 - A,Hp,41
147 - A,Atk,64
147 - A,Def,45
147 - A,Sp Atk,50
147 - A,Sp Def,50
147 - A,Spd,50
148 - A,Hp,61
148 - A,Atk,84
148 - A,Def,65
148 - A,Sp Atk,70
148 - A,Sp Def,70
148 - A,Spd,70
149 - A,Hp,91
149 - A,Atk,134
149 - A,Def,95
149 - A,Sp Atk,100
149 - A,Sp Def,100
149 - A,Spd,80
150 - A,Hp,106
150 - A,Atk,110
150 - A,Def,90
150 - A,Sp Atk,154
150 - A,Sp Def,90
150 - A,Spd,130
151 - A,Hp,100
151 - A,Atk,100
151 - A,Def,100
151 - A,Sp Atk,100
151 - A,Sp Def,100
151 - A,Spd,100
152 - A,Hp,45
152 - A,Atk,49
152 - A,Def,65
152 - A,Sp Atk,49
152 - A,Sp Def,65
152 - A,Spd,45
153 - A,Hp,60
153 - A,Atk,62
153 - A,Def,80
153 - A,Sp Atk,63
153 - A,Sp Def,80
153 - A,Spd,60
154 - A,Hp,80
154 - A,Atk,82
154 - A,Def,100
154 - A,Sp Atk,83
154 - A,Sp Def,100
154 - A,Spd,80
155 - A,Hp,39
155 - A,Atk,52
155 - A,Def,43
155 - A,Sp Atk,60
155 - A,Sp Def,50
155 - A,Spd,65
156 - A,Hp,58
156 - A,Atk,64
156 - A,Def,58
156 - A,Sp Atk,80
156 - A,Sp Def,65
156 - A,Spd,80
157 - A,Hp,78
157 - A,Atk,84
157 - A,Def,78
157 - A,Sp Atk,109
157 - A,Sp Def,85
157 - A,Spd,100
157 - B,Hp,73
157 - B,Atk,84
157 - B,Def,78
157 - B,Sp Atk,119
157 - B,Sp Def,85
157 - B,Spd,95
158 - A,Hp,50
158 - A,Atk,65
158 - A,Def,64
158 - A,Sp Atk,44
158 - A,Sp Def,48
158 - A,Spd,43
159 - A,Hp,65
159 - A,Atk,80
159 - A,Def,80
159 - A,Sp Atk,59
159 - A,Sp Def,63
159 - A,Spd,58
160 - A,Hp,85
160 - A,Atk,105
160 - A,Def,100
160 - A,Sp Atk,79
160 - A,Sp Def,83
160 - A,Spd,78
161 - A,Hp,35
161 - A,Atk,46
161 - A,Def,34
161 - A,Sp Atk,35
161 - A,Sp Def,45
161 - A,Spd,20
162 - A,Hp,85
162 - A,Atk,76
162 - A,Def,64
162 - A,Sp Atk,45
162 - A,Sp Def,55
162 - A,Spd,90
163 - A,Hp,60
163 - A,Atk,30
163 - A,Def,30
