IdForma,Descripción,Tamaño (CM),Peso (KG)
70 - A,Las hojas que tiene actúan como cuchillas en combate. Otra de sus armas es el corrosivo fluido que expulsa.,100,6.4
71 - A,"Dicen que vive en grandes colonias en el interior de las junglas, aunque nadie ha podido verificarlo.",170,15.5
72 - A,Su cuerpo se compone casi en exclusiva de agua. Lanza extraños rayos con sus ojos cristalinos.,90,45.5
73 - A,"Cuando caza, extiende los cortos tentáculos que tiene para atrapar e inmovilizar a su presa.",160,55
74 - A,"Aparecen en llanos y montañas. Como parecen rocas, la gente se tropieza con ellos o los pisa.",40,20
74 - B,"Aparecen en llanos y montañas. Como parecen rocas, la gente se tropieza con ellos o los pisa.",40,20.3
75 - A,"De naturaleza descuidada y libre, no le importa dañarse cuando baja rodando montañas.",100,105
75 - B,"De naturaleza descuidada y libre, no le importa dañarse cuando baja rodando montañas.",100,110
76 - A,Se lanza montaña abajo y deja un surco desde la cima hasta el pie. Es mejor mantenerse alejado.,140,300
76 - B,Se lanza montaña abajo y deja un surco desde la cima hasta el pie. Es mejor mantenerse alejado.,170,316
77 - A,"Cuando nace, apenas puede tenerse en pie. Pero va fortaleciendo las patas en cuanto empieza a galopar.",100,30
77 - B,"Cuando nace, apenas puede tenerse en pie. Pero va fortaleciendo las patas en cuanto empieza a galopar.",80,24
78 - A,Galopa a casi 240 km por hora. Su crin ardiente parece una flecha cuando corre.,170,95
78 - B,Galopa a casi 240 km por hora. Su crin ardiente parece una flecha cuando corre.,170,80
79 - A,"Descansa ocioso junto al agua. Si algo muerde su cola, no lo notará en todo el día.",120,36
79 - B,"Descansa ocioso junto al agua. Si algo muerde su cola, no lo notará en todo el día.",120,36
80 - A,"Tiene una cola tan apetecible, que el Shellder que va enganchado a ella no se soltará por nada del mundo.",160,78.5
80 - B,"Tiene una cola tan apetecible, que el Shellder que va enganchado a ella no se soltará por nada del mundo.",160,70.5
81 - A,Las unidades a los lados de su cuerpo generan energía antigravitatoria para mantenerlo en el aire.,30,6
82 - A,Lo constituye un grupo de Magnemite. Descarga potentes ondas magnéticas de alto voltaje.,100,60
83 - A,El puerro que lleva es su mejor arma. Suele usarlo como espada para cortar cosas.,80,15
83 - B,El puerro que lleva es su mejor arma. Suele usarlo como espada para cortar cosas.,80,42
84 - A,"Este Pokémon de dos cabezas es el resultado de una mutación. Cuando corre, puede alcanzar casi 100 km por hora.",140,39.2
85 - A,"Más vale no perder de vista ninguna de las tres cabezas. De lo contrario, el número de picotazos será enorme.",180,85.2
86 - A,Este Pokémon vive en icebergs. Nada en el mar y usa el cuerno de su cabeza para romper el hielo.,110,90
87 - A,Está recubierto de un luminoso pelaje blanco. Este Pokémon aumenta su actividad cuando bajan las temperaturas.,170,120
88 - A,Nace de lodo alterado al filtrarse en el agua los rayos X reflejados por la Luna. Se alimenta de sustancias desagradables.,90,30
88 - B,Nace de lodo alterado al filtrarse en el agua los rayos X reflejados por la Luna. Se alimenta de sustancias desagradables.,70,42
89 - A,"Les encanta reunirse en zonas apestosas donde se acumula el lodo, haciendo su olor más insoportable.",120,30
89 - B,"Les encanta reunirse en zonas apestosas donde se acumula el lodo, haciendo su olor más insoportable.",100,52
90 - A,La concha lo protege de cualquier tipo de ataque. Solo es vulnerable cuando se abre.,30,4
91 - A,A los Cloyster que viven en las fuertes corrientes marinas les crecen largas y afiladas púas en la concha.,150,132.5
92 - A,Su etéreo cuerpo está hecho de gas. Puede envolver a un oponente de cualquier tamaño hasta ahogarlo.,130,0.1
93 - A,"Cuando tienes la sensación de que te están observando, seguro que es porque Haunter está cerca.",160,0.1
94 - A,"Se esconde entre las sombras. Se dice que donde Gengar acecha, la temperatura baja 5 °C.",150,40.5
95 - A,Cava a gran velocidad en busca de comida. Los túneles que deja son usados por los Diglett.,880,210
96 - A,Adormece a sus enemigos y se come sus sueños. A veces se pone enfermo si come pesadillas.,100,32.4
97 - A,"Lleva un péndulo en la mano. Una vez, hizo desaparecer a un niño al que había hipnotizado.",160,75.6
98 - A,"Ante el peligro, se camufla con las burbujas que desprende su boca, para parecer más grande.",40,6.5
99 - A,"La pinza tan grande que tiene posee una fuerza de 10 000 caballos de potencia. Pero, por su gran tamaño, cuesta moverla.",130,60
100 - A,Fue descubierto cuando se crearon las Poké Balls. Se dice que tiene algo que ver con ellas.,50,10.4
100 - B,Fue descubierto cuando se crearon las Poké Balls. Se dice que tiene algo que ver con ellas.,50,13
101 - A,Explotan a la mínima. Por eso se les tiene mucho miedo. Estos Pokémon reciben el mote de Bomba Ball.,120,66.6
101 - B,Explotan a la mínima. Por eso se les tiene mucho miedo. Estos Pokémon reciben el mote de Bomba Ball.,120,71
102 - A,"Estos seis huevos se comunican por telepatía. Si se separan, se pueden reunir rápidamente.",40,2.5
103 - A,"Sus tres cabezas piensan de forma independiente. Sin embargo, son amigas y no suelen discutir nunca.",200,120
103 - B,"Sus tres cabezas piensan de forma independiente. Sin embargo, son amigas y no suelen discutir nunca.",1090,415.6
104 - A,Lleva puesto el cráneo de su madre. Cuando se siente solo se pone a gritar muy fuerte.,40,6.5
105 - A,"Es pequeño y siempre ha sido muy débil. Cuando empezó a usar huesos, se volvió más violento.",100,45
105 - B,"Es pequeño y siempre ha sido muy débil. Cuando empezó a usar huesos, se volvió más violento.",100,34
106 - A,"Encoge y estira las patas a su antojo. Cuando las estira, es capaz de propinar una buena patada al enemigo.",150,49.8
107 - A,Los potentes golpes de sus brazos pueden pulverizar el hormigón. Descansa tras luchar tres minutos.,140,50.2
108 - A,"Su larga lengua, recubierta de saliva pegajosa, se pega a todo, por lo que es muy útil.",120,65.5
109 - A,Tiene forma de globo y es muy ligero. Está compuesto por gases tóxicos y apesta.,60,1
110 - A,"Si uno de los gemelos Koffing se infla, el otro se desinfla. Mezclan constantemente sus venenosos gases.",120,9.5
110 - B,"Si uno de los gemelos Koffing se infla, el otro se desinfla. Mezclan constantemente sus venenosos gases.",300,16
111 - A,"Es muy fuerte, pero no especialmente listo. Es capaz de derribar rascacielos usando Placaje varias veces.",100,115
112 - A,La piel le sirve de escudo protector. Puede vivir en lava líquida a 2000 °C de temperatura.,190,120
113 - A,Se dice que reparte felicidad. Se caracteriza por su compasión y reparte sus huevos entre la gente herida.,110,34.6
114 - A,Se camufla con la multitud de lianas que envuelven su cuerpo y que no dejan de crecer a lo largo de toda su vida.,100,35
115 - A,Lleva a su cría en la bolsa de su panza. Solo deja que su cría salga a jugar cuando no siente peligro.,220,80
116 - A,Es famoso por derribar a bichos voladores lanzando tinta desde la superficie del agua.,40,8
117 - A,Las afiladas púas que le recubren el cuerpo se le erizan y pueden causar el debilitamiento con solo tocarlo.,120,25
118 - A,"Nada a una velocidad de cinco nudos. Si siente peligro, golpea con su afilado cuerno.",60,15
119 - A,"En otoño, cuando se reproducen, se les puede ver nadando con energía por ríos y arroyos.",130,39
120 - A,"Aunque sus brazos se rompan podrán regenerarse, siempre y cuando su núcleo siga intacto.",80,34.5
121 - A,Su núcleo central brilla con los colores del arcoíris. Para algunos tiene el valor de una gema.,110,80
122 - A,"Para repeler ataques, solidifica el aire y crea muros invisibles con emanaciones de sus dedos.",130,54.5
122 - B,"Para repeler ataques, solidifica el aire y crea muros invisibles con emanaciones de sus dedos.",140,56.8
123 - A,Destroza a su presa con las guadañas que tiene. No es común que use las alas para volar.,150,56
124 - A,Camina moviendo las caderas de forma llamativa. Puede hacer que la gente baile a su ritmo.,140,40.6
125 - A,"Por la superficie de su piel corre la electricidad. En la oscuridad, su cuerpo se torna blanquecino.",110,30
126 - A,A este Pokémon se lo encontraron cerca de un volcán. Esta criatura ígnea tiene una temperatura corporal de unos 1200 °C.,130,44.5
127 - A,Atrapa presas con sus pinzas hasta que las parte en dos. Lanza lejos lo que no puede quebrar.,150,55
128 - A,"Después de animarse a luchar fustigándose con sus tres colas, carga a toda velocidad.",140,88.4
128 - B,"Después de animarse a luchar fustigándose con sus tres colas, carga a toda velocidad.",140,115
128 - C,"Después de animarse a luchar fustigándose con sus tres colas, carga a toda velocidad.",140,85
128 - D,"Después de animarse a luchar fustigándose con sus tres colas, carga a toda velocidad.",140,110
129 - A,No es precisamente rápido ni fuerte. Es el Pokémon más debilucho y simplón de todos los que hay.,90,10
130 - A,En la literatura antigua se dice que un Gyarados rebosante de violencia arrasó un poblado.,650,235
131 - A,Son buenos de corazón. Muchos fueron capturados por ser tan pacíficos. Ahora hay muchos menos.,250,220
132 - A,Puede alterar por completo su estructura celular para emular cualquier objeto que vea.,30,4
133 - A,Un extraño Pokémon que se adapta a los entornos más hostiles gracias a sus diferentes evoluciones.,30,6.5
134 - A,"Prefiere las bellas costas. Con células parecidas al agua, podría fundirse en la misma.",100,29
135 - A,Todos los pelos de su cuerpo se ponen de punta si empieza a cargarse de electricidad.,80,24.5
136 - A,"Almacena llamas en su cuerpo, que alcanza una temperatura de 900 °C antes de un combate.",90,25
137 - A,Pokémon creado por el hombre tras muchas investigaciones. Sus habilidades son básicas.,80,36.5
138 - A,Pokémon prehistórico que vivió en el océano primordial. Para nadar se valía de sus 10 tentáculos.,40,7.5
139 - A,Tiene los tentáculos tan desarrollados que le sirven de manos y pies. Con ellos atrapa a su presa y le da un bocado.,100,35
140 - A,Se cree que habitó las playas hace 300 millones de años. Se protege con una dura concha.,50,11.5
141 - A,"Repliega sus extremidades en el agua para hacerse más compacto, y mueve su concha para nadar rápido.",130,40.5
142 - A,Se regeneró a partir de material genético de un dinosaurio encontrado en ámbar. Cuando vuela emite escandalosos alaridos.,180,59
143 - A,"No se encuentra satisfecho hasta que no se come 400 kg de comida cada día. Cuando acaba de comer, se queda dormido.",210,460
144 - A,Legendario Pokémon pájaro capaz de generar ventiscas congelando la humedad del aire.,170,55.4
144 - B,Legendario Pokémon pájaro capaz de generar ventiscas congelando la humedad del aire.,170,50.9
145 - A,Es un legendario pájaro Pokémon. Dicen que aparece entre las nubes lanzando enormes rayos brillantes.,160,52.6
145 - B,Es un legendario pájaro Pokémon. Dicen que aparece entre las nubes lanzando enormes rayos brillantes.,160,58.2
146 - A,Es más conocido como el legendario pájaro de fuego. Con cada aleteo crea brillantes llamas.,200,60
146 - B,Es más conocido como el legendario pájaro de fuego. Con cada aleteo crea brillantes llamas.,200,66
147 - A,Se le llama el Pokémon Espejismo porque son muy pocos los que lo han visto. Se encontró su muda.,180,3.3
148 - A,Sus cristalinos orbes parecen darle al Pokémon el poder de controlar el clima libremente.,400,16.5
149 - A,"A pesar del tamaño que tiene y de lo pesado que es, puede volar. Es capaz de dar la vuelta al mundo en solo 16 horas.",220,210
150 - A,Fue creado por un científico tras años de horribles experimentos de ingeniería genética.,200,122
151 - A,Varios científicos lo consideran el antecesor de los Pokémon porque usa todo tipo de movimientos.,40,4
152 - A,Un dulce aroma se desprende de la hoja de su cabeza. Es dócil y le encanta absorber los rayos de sol.,90,6.4
153 - A,Emana un aroma picante de su cuello. El aroma actúa como estimulante para recuperar salud.,120,15.8
154 - A,El olor que desprenden sus pétalos contiene una sustancia que calma el instinto agresivo.,180,100.5
155 - A,"Es un Pokémon muy tímido. Si se asusta, las llamas de su lomo arden con más fuerza.",50,7.9
156 - A,"Antes de empezar a luchar, se gira ante su rival para alardear del alcance y la fuerza de sus llamas.",90,19
157 - A,"Si su furia crece, se calienta tanto que cualquier cosa que toque se prenderá al instante.",170,79.5
157 - B,"Si su furia crece, se calienta tanto que cualquier cosa que toque se prenderá al instante.",160,69.8
158 - A,Es pequeño pero violento. No dudará en morder cualquier cosa que se mueva cerca.,60,9.5
159 - A,"Si pierde un colmillo, le crecerá otro en su lugar. Siempre tiene 48 colmillos en su boca.",110,25
160 - A,"Se suele mover lento, pero alcanza velocidades de vértigo al atacar y morder a sus enemigos.",230,88.8
161 - A,"Cuando hace de centinela, avisa del peligro a los demás, chillando y dando golpes al suelo con la cola.",80,6
162 - A,Acurruca a sus crías para que duerman. Acorrala a los enemigos con su enorme velocidad.,180,32.5
163 - A,"Su percepción del tiempo es exacta. Ocurra lo que ocurra, lleva el ritmo moviendo la cabeza.",70,21.2
164 - A,Sus ojos están especialmente adaptados. Concentran la luz para poder ver en la oscuridad.,160,40.8
165 - A,"Cuando llega el frío, se reúnen muchos Ledyba de todas partes para darse calor.",100,10.8
166 - A,"Cuando parpadean las estrellas en el cielo nocturno, se mece desprendiendo un polvo brillante.",140,35.6
167 - A,Teje su telaraña con hilo fino pero resistente. Espera pacientemente a que caiga su presa.,50,8.5
168 - A,Teje su telaraña desde atrás y desde su boca. Es muy difícil saber dónde está cada cual.,110,33.5
169 - A,"Es tan silencioso cuando vuela en la oscuridad con sus cuatro alas, que cuesta percibirlo cuando se acerca.",180,75
170 - A,"En el oscuro fondo del océano, su único modo de comunicarse es emitiendo luces parpadeantes.",50,12
171 - A,La luz de Lanturn se puede ver desde lo más profundo. Se le llama la Estrella de Alta Mar.,120,22.5
172 - A,"Cuando juegan, se tocan las colas y emiten chispas. Al parecer, es una prueba de valor.",30,2
173 - A,"Por su inusual forma estrellada, la gente cree que procede de un meteorito que cayó a la tierra.",30,3
174 - A,"Para caminar, en lugar de usar los pies que tiene, opta por dar botes con su cuerpo redondo y blandito.",30,1
175 - A,El cascarón parece estar lleno de alegría. Dicen que trae buena suerte si es tratado con cariño.,30,1.5
176 - A,"Si no está con gente amable, se entristece. Puede flotar en el aire sin mover las alas.",60,3.2
177 - A,Va dando saltitos porque sus alas no han crecido lo suficiente. Siempre está pendiente de algo.,20,2
178 - A,"Cuando se pone a meditar al amanecer, pierde la noción del tiempo. Puede pasarse así todo el día.",150,15
179 - A,Su pelaje lanudo dobla su volumen al acumular electricidad estática. Tocarlo puede dar calambre.,60,7.8
180 - A,Su esponjosa lana almacena electricidad. Su piel gomosa evita que sea electrocutado.,80,13.3
181 - A,La punta de su cola reluce brillantemente y puede ser vista desde lejos. Es usado como faro.,140,61.5
182 - A,Los Bellossom suelen reunirse para bailar. Dicen que sus danzas son un ritual para invocar al sol.,40,5.8
183 - A,"Tiene una piel que repele el agua. De hecho, puede pasarse horas jugando en el agua sin mojarse.",40,8.5
184 - A,Sus largas orejas son sensores que pueden percibir movimientos de seres vivos en el lecho del río.,80,28.5
185 - A,"Aunque pretende ser un árbol, en su composición se parece más a una roca que a una planta.",120,38
186 - A,"Cuando tres o más de estos se juntan, emiten un sonido muy fuerte parecido a un bramido.",110,33.9
187 - A,"Su cuerpo es tan ligero, que debe agarrarse bien al suelo con las patas para no irse con el viento.",40,0.5
188 - A,La flor de su cabeza se abre y cierra según suba o baje la temperatura.,60,1
189 - A,"Los vientos estacionales lo llevan por todo el mundo, donde va soltando sus esporas.",80,3
190 - A,"Vive en lo alto de los árboles. Cuando salta de rama en rama, usa su cola para equilibrarse.",80,11.5
191 - A,"Puede caer del cielo de repente. Si le ataca un Spearow, moverá violentamente sus hojas.",30,1.8
192 - A,"A medida que se acerca el verano, va adquiriendo un color más vivo e intenso en los pétalos de la cara.",80,8.5
193 - A,Su campo visual es de 360° sin girar la cabeza. Detecta hasta las presas que están a su espalda.,120,38
194 - A,Este Pokémon vive en aguas frías. Sale del agua para buscar comida cuando refresca el ambiente.,40,8.5
194 - B,Este Pokémon vive en aguas frías. Sale del agua para buscar comida cuando refresca el ambiente.,40,11
195 - A,Es un Pokémon bastante perezoso. Para pescar permanece en el fondo del río con la boca abierta.,140,75
196 - A,"Al predecir el siguiente movimiento de su rival, chasquea el extremo de la cola bífida que tiene.",90,26.5
197 - A,Creado cuando la luz lunar alteró la estructura genética de Eevee. Busca presas en la oscuridad.,100,27
198 - A,Esconde objetos brillantes en un lugar secreto. Meowth y Murkrow suelen saquear su escondite.,50,2.1
199 - A,Su intelecto e intuición son increíbles. No pierde la compostura en ninguna situación.,200,79.5
199 - B,Su intelecto e intuición son increíbles. No pierde la compostura en ninguna situación.,180,79.5
200 - A,"Se deleita con el miedo, que absorbe con sus esferas rojas. Por el día, duerme en la oscuridad.",70,1
201 - A,Su cuerpo fino y plano aparece siempre en los muros. Su forma parece tener algún significado.,50,5
202 - A,"Odia la luz y las sacudidas. Si le atacan, infla su cuerpo para aumentar su contraataque.",130,28.5
203 - A,"Cuando duerme, la cabeza de su cola se queda vigilando, ya que ella no necesita dormir.",150,41.5
204 - A,Le gusta engrosar su coraza añadiendo cortezas de árbol. El aumento de peso no le molesta.,60,7.2
205 - A,Se protege con su concha de acero de tal manera que solo se pueden ver sus ojos.,120,125.8
206 - A,"Este Pokémon escapa hacia atrás perforando el suelo con su cola, si es descubierto.",150,14
207 - A,"A veces se sujeta a los precipicios. Cuando divisa una presa, despliega sus alas y planea para atacar.",110,64.8
208 - A,Su cuerpo es más duro que cualquier metal debido a la gran presión y calor de su hábitat.,920,400
209 - A,"Muy travieso por naturaleza, a muchas mujeres les gusta jugar con él porque es muy cariñoso.",60,7.8
210 - A,"A pesar de su aspecto, es muy tímido. Sin embargo, cuando se enfada, ataca con sus colmillos.",140,48.7
211 - A,"Para arrojar sus venenosas púas, infla su cuerpo bebiendo hasta diez litros de agua de una sola vez.",50,3.9
211 - B,"Para arrojar sus venenosas púas, infla su cuerpo bebiendo hasta diez litros de agua de una sola vez.",50,3.9
212 - A,"Las pinzas que posee tienen acero. Con ellas, no hay nada que se le resista. Rompen todo lo que pillan.",180,118
213 - A,Las bayas que almacena en su caparazón con forma de tarro se convierten al final en un espeso zumo.,60,20.5
214 - A,"Este fuerte Pokémon clava su preciado cuerno en la tripa del enemigo, lo eleva y luego lo arroja.",150,54
215 - A,Se alimenta de huevos robados en nidos. Clava sus afiladas garras en los puntos débiles de sus rivales.,90,28
215 - B,Se alimenta de huevos robados en nidos. Clava sus afiladas garras en los puntos débiles de sus rivales.,90,27
216 - A,"Si encuentra miel, brillará la marca de su frente. Se lame las garras cuando están llenas de miel.",60,8.8
217 - A,"Capaz de percibir cualquier tipo de aroma, encuentra sin problemas todo alimento enterrado bajo tierra.",180,125.8
218 - A,"Asiduo a las zonas volcánicas, se desliza lentamente en busca de lugares calientes.",70,35
219 - A,"En ocasiones, su resbaladiza concha lanza intensas llamaradas que recorren todo su cuerpo.",80,55
220 - A,Frota su hocico contra el suelo para desenterrar comida. A veces descubre aguas termales.,40,6.5
221 - A,"Aunque tiene las patas cortas, las fuertes pezuñas le permiten agarrarse bien al suelo, a pesar del hielo.",110,55.8
222 - A,Crece y muda continuamente. La parte superior de su cabeza es muy apreciada por su belleza.,60,5
222 - B,Crece y muda continuamente. La parte superior de su cabeza es muy apreciada por su belleza.,60,0.5
223 - A,"Tiene muy buena puntería. Dispara agua a sus presas, hasta si se están moviendo, a más de 100 metros.",60,12
224 - A,Tiene querencia por los agujeros. Ataca escupiendo tinta metido en las grietas de rocas o en recipientes.,90,28.5
225 - A,Transporta alimentos en su cola enrollada. Le gusta compartir su comida con los montañistas perdidos.,90,16
226 - A,"Acumula velocidad nadando y puede saltar fuera del agua, alcanzando 100 metros de altura, para descender luego planeando.",210,220
227 - A,"Después de anidar en zarzas, las alas de sus polluelos crecen fortalecidas por los rasguños.",170,50.5
228 - A,"Al amanecer, resuena por la zona su inquietante aullido para anunciar que es su territorio.",60,10.8
229 - A,"Hace mucho, la gente creía que sus horripilantes aullidos eran de la muerte personificada.",140,35
