IdForm,FormPokemon,Url_ImgPokemonForm,Description,Size (cm),Weight (kg),Ability
0026-AMY,AMY - Mega Y,https://raw.githubusercontent.com/Gbarrantes25/Pokedex-PowerBI/refs/heads/main/Mega-Evolution/Mega-Raichu_Y.png,"Cuando se carga de electricidad, sus músculos se tensan y se vuelve más agresivo de lo normal.",100,26,"Elec. Estática, Pararrayos"
0026-B,B - Alola,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10100.png,"Cuando se carga de electricidad, sus músculos se tensan y se vuelve más agresivo de lo normal.",70,21,Cola Surf
0027-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/27.png,"Este Pokémon permanece bajo tierra. Si se siente amenazado, se enrosca para defenderse.",60,12,"Velo Arena, Ímpetu Arena"
0027-B,B - Alola,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10101.png,"Este Pokémon permanece bajo tierra. Si se siente amenazado, se enrosca para defenderse.",70,40,"Manto Níveo, Quitanieves"
0028-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/28.png,"Si cava a gran velocidad, puede que se le caigan las garras y púas. Vuelven a crecerle en un día.",100,29.5,"Velo Arena, Ímpetu Arena"
0028-B,B - Alola,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10102.png,"Si cava a gran velocidad, puede que se le caigan las garras y púas. Vuelven a crecerle en un día.",120,55,"Manto Níveo, Quitanieves"
0029-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/29.png,"Aunque pequeñas, sus venenosas púas son muy peligrosas. Tienen un cuerno más pequeño que los machos.",40,7,"Punto Tóxico, Rivalidad, Entusiasmo"
0030-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/30.png,Tiene un carácter afable. Emite ondas ultrasónicas para confundir al enemigo.,80,20,"Punto Tóxico, Rivalidad, Entusiasmo"
0031-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/31.png,Usa su cuerpo duro y escamoso para sellar la entrada a su madriguera y protegerse de los depredadores.,130,60,"Punto Tóxico, Rivalidad, Potencia Bruta"
0032-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/32.png,Saca las orejas por encima de la hierba para explorar el territorio. Le protege su cuerno venenoso.,50,9,"Punto Tóxico, Rivalidad, Entusiasmo"
0033-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/33.png,"Levanta sus grandes orejas para vigilar. Si detecta algo, atacará de inmediato.",90,19.5,"Punto Tóxico, Rivalidad, Entusiasmo"
0034-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/34.png,Es fácil reconocerlo por tener una dura piel y un gran cuerno lleno de peligrosísimo veneno.,140,62,"Punto Tóxico, Rivalidad, Potencia Bruta"
0035-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/35.png,Se dice que la felicidad llegará a quien vea a un grupo de Clefairy bailando a la luz de la luna llena.,60,7.5,"Gran Encanto, Muro Mágico, Compiescolta"
0036-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/36.png,Su oído es tan agudo que puede oír una aguja caer a 1 km. Vive en montañas solitarias.,130,40,"Gran Encanto, Muro Mágico, Ignorante"
0036-AM,AM - Mega,https://raw.githubusercontent.com/Gbarrantes25/Pokedex-PowerBI/refs/heads/main/Mega-Evolution/Mega-Clefable_LPZA.png,Su oído es tan agudo que puede oír una aguja caer a 1 km. Vive en montañas solitarias.,170,42.3,"Gran Encanto, Muro Mágico, Ignorante"
0037-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/37.png,"Cuando nace solo tiene una cola, pero a medida que crece, esta se va dividiendo desde la punta.",60,9.9,"Absorbe Fuego, Sequía"
0037-B,B - Alola,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10103.png,"Cuando nace solo tiene una cola, pero a medida que crece, esta se va dividiendo desde la punta.",60,9.9,"Manto Níveo, Nevada"
0038-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/38.png,Tiene nueve colas y un pelaje de color dorado. Dicen que este Pokémon llega a vivir 1000 años.,110,19.9,"Absorbe Fuego, Sequía"
0038-B,B - Alola,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10104.png,Tiene nueve colas y un pelaje de color dorado. Dicen que este Pokémon llega a vivir 1000 años.,110,19.9,"Manto Níveo, Nevada"
0039-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/39.png,Cautiva con la mirada a su enemigo y hace que se quede profundamente dormido mientras entona una dulce melodía.,50,5.5,"Gran Encanto, Tenacidad, Compiescolta"
0040-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/40.png,"Su piel es tan suave que si dos de ellos se acurrucan juntos, no querrán separarse nunca.",100,12,"Gran Encanto, Tenacidad, Cacheo"
0041-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/41.png,"Aunque carezca de ojos, puede detectar obstáculos con las ondas ultrasónicas que emite su boca.",80,7.5,"Foco Interno, Allanamiento"
0042-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/42.png,"Cuando ataque, seguirá chupando energía de su víctima, aunque pese tanto que ya no pueda volar.",160,55,"Foco Interno, Allanamiento"
0043-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/43.png,"Durante el día, se agazapa en el frío subsuelo huyendo del sol. La luz de la luna le hace crecer mucho.",50,5.4,"Clorofila, Fuga"
0044-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/44.png,"¡Huele bastante mal! De todas formas, una de cada mil personas aprecian su fétido olor.",80,8.6,"Clorofila, Hedor"
0045-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/45.png,"Cuanto mayores son sus pétalos, más tóxico es su polen. Le pesa la cabeza y le cuesta mantenerla erguida.",120,18.6,"Clorofila, Efecto Espora"
0046-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/46.png,"Lleva en el lomo dos setas parásitas llamadas tochukaso, que crecen con él.",30,5.4,"Efecto Espora, Piel Seca, Humedad"
0047-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/47.png,Parasect está dominado por una seta parásita mayor que él. Dispersa esporas venenosas.,100,29.5,"Efecto Espora, Piel Seca, Humedad"
0048-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/48.png,Sus grandes ojos son en realidad grupos de ojos diminutos. Por la noche se siente atraído por la luz.,100,30,"Ojo Compuesto, Cromolente, Fuga"
0049-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/49.png,"Lanza unas escamas que paralizan a cualquiera. Quien las toque, no podrá ni ponerse de pie.",150,12.5,"Polvo Escudo, Cromolente, Piel Milagro"
0050-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/50.png,"Vive un metro por debajo del suelo, donde se alimenta de raíces. También aparece en la superficie.",20,0.8,"Velo Arena, Trampa Arena, Poder Arena"
0050-B,B - Alola,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10105.png,"Vive un metro por debajo del suelo, donde se alimenta de raíces. También aparece en la superficie.",20,1,"Velo Arena, Rizos Rebeldes, Poder Arena"
0051-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/51.png,"En combate, cava la tierra, se esconde y sale de repente para golpear a su rival. Nunca se sabe por dónde puede aparecer.",70,33.3,"Velo Arena, Trampa Arena, Poder Arena"
0051-B,B - Alola,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10106.png,"En combate, cava la tierra, se esconde y sale de repente para golpear a su rival. Nunca se sabe por dónde puede aparecer.",70,66.6,"Velo Arena, Rizos Rebeldes, Poder Arena"
0052-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/52.png,Es de naturaleza nocturna. Le atraen los objetos brillantes.,40,4.2,"Recogida, Experto, Nerviosismo"
0052-B,B - Alola,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10107.png,Es de naturaleza nocturna. Le atraen los objetos brillantes.,40,4.2,"Recogida, Experto, Cobardía"
0052-C,C - Galar,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10161.png,Es de naturaleza nocturna. Le atraen los objetos brillantes.,40,7.5,"Recogida, Garra Dura, Nerviosismo"
0053-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/53.png,"Aunque es muy admirado por el pelo, es difícil de entrenar como mascota, porque es un poco travieso.",100,32,"Flexibilidad, Experto, Nerviosismo"
0053-B,B - Alola,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10108.png,"Aunque es muy admirado por el pelo, es difícil de entrenar como mascota, porque es un poco travieso.",110,33,"Pelaje Recio, Experto, Cobardía"
0054-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/54.png,"Padece continuamente dolores de cabeza. Cuando son muy fuertes, empieza a usar misteriosos poderes.",80,19.6,"Humedad, Aclimatación, Nado Rápido"
0055-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/55.png,Aparece en ríos al anochecer. Puede usar poderes telequinéticos si su frente brilla misteriosamente.,170,76.6,"Humedad, Aclimatación, Nado Rápido"
0056-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/56.png,"Es peligroso acercarse si se enfada sin razón aparente, ya que no distingue entre amigos y enemigos.",50,28,"Espíritu Vital, Irascible, Competitivo"
0057-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/57.png,Solo se calma cuando nadie está cerca. Llegar a ver ese momento es realmente difícil.,100,32,"Espíritu Vital, Irascible, Competitivo"
0058-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/58.png,"Es muy agradable y leal. Para ahuyentar al enemigo, se pone a ladrar y a dar bocados.",70,19,"Intimidación, Absorbe Fuego, Justiciero"
0058-B,B - Hisui,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10229.png,"Es muy agradable y leal. Para ahuyentar al enemigo, se pone a ladrar y a dar bocados.",80,22.7,"Intimidación, Absorbe Fuego, Cabeza Roca"
0059-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/59.png,Un Pokémon muy admirado desde la antigüedad por su belleza. Corre ágilmente como si tuviera alas.,190,155,"Intimidación, Absorbe Fuego, Justiciero"
0059-B,B - Hisui,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10230.png,Un Pokémon muy admirado desde la antigüedad por su belleza. Corre ágilmente como si tuviera alas.,200,168,"Intimidación, Absorbe Fuego, Cabeza Roca"
0060-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/60.png,"Tiene una piel extraordinaria, fina y húmeda, que deja entrever las vísceras que tiene dispuestas en espiral.",60,12.4,"Absorbe Agua, Humedad, Nado Rápido"
0061-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/61.png,Capaz de vivir dentro o fuera del agua. Fuera del agua suda para mantener baboso su cuerpo.,100,20,"Absorbe Agua, Humedad, Nado Rápido"
0062-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/62.png,Tiene músculos muy desarrollados. Es capaz de nadar en el océano sin descanso.,130,54,"Absorbe Agua, Humedad, Nado Rápido"
0063-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/63.png,Duerme 18 horas al día y mientras lo hace es capaz de usar una serie de poderes extrasensoriales.,90,19.5,"Sincronía, Foco Interno, Muro Mágico"
0064-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/64.png,"Cuando utiliza su poder psíquico, emite poderosas ondas alfa que pueden destruir dispositivos.",130,56.5,"Sincronía, Foco Interno, Muro Mágico"
0065-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/65.png,"Sus neuronas se multiplican continuamente durante su vida. Por eso, siempre lo recuerda todo.",150,48,"Sincronía, Foco Interno, Muro Mágico"
0065-AM,AM - Mega,https://raw.githubusercontent.com/Gbarrantes25/Pokedex-PowerBI/refs/heads/main/Mega-Evolution/Mega-Alakazam.png,Su notable don para prever el futuro le permite esquivar por completo numerosos ataques.,120,48,Calco
0066-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/66.png,Levanta un Graveler para mantener sus músculos en forma. Domina todas las artes marciales.,80,19.5,"Agallas, Indefenso, Impasible"
0067-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/67.png,Su musculoso cuerpo es tan fuerte que usa un cinto antifuerza para controlar sus movimientos.,150,70.5,"Agallas, Indefenso, Impasible"
0068-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/68.png,Tiene cuatro brazos tan bien desarrollados que puede dar una serie de 1000 puñetazos en cuestión de dos segundos.,160,130,"Agallas, Indefenso, Impasible"
0069-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/69.png,"Aunque su cuerpo es extremadamente delgado, es muy rápido a la hora de capturar sus presas.",70,4,"Clorofila, Gula"
0070-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/70.png,Las hojas que tiene actúan como cuchillas en combate. Otra de sus armas es el corrosivo fluido que expulsa.,100,6.4,"Clorofila, Gula"
0071-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/71.png,"Dicen que vive en grandes colonias en el interior de las junglas, aunque nadie ha podido verificarlo.",170,15.5,"Clorofila, Gula"
0071-AM,AM - Mega,https://raw.githubusercontent.com/Gbarrantes25/Pokedex-PowerBI/refs/heads/main/Mega-Evolution/Mega-Victreebel.png,"Dicen que vive en grandes colonias en el interior de las junglas, aunque nadie ha podido verificarlo.",450,125.5,"Clorofila, Gula"
0072-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/72.png,Su cuerpo se compone casi en exclusiva de agua. Lanza extraños rayos con sus ojos cristalinos.,90,45.5,"Cuerpo Puro, Lodo Líquido, Cura Lluvia"
0073-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/73.png,"Cuando caza, extiende los cortos tentáculos que tiene para atrapar e inmovilizar a su presa.",160,55,"Cuerpo Puro, Lodo Líquido, Cura Lluvia"
0074-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/74.png,"Aparecen en llanos y montañas. Como parecen rocas, la gente se tropieza con ellos o los pisa.",40,20,"Cabeza Roca, Robustez, Velo Arena"
0074-B,B - Alola,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10109.png,"Aparecen en llanos y montañas. Como parecen rocas, la gente se tropieza con ellos o los pisa.",40,20.3,"Imán, Robustez, Piel Eléctrica"
0075-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/75.png,"De naturaleza descuidada y libre, no le importa dañarse cuando baja rodando montañas.",100,105,"Cabeza Roca, Robustez, Velo Arena"
0075-B,B - Alola,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10110.png,"De naturaleza descuidada y libre, no le importa dañarse cuando baja rodando montañas.",100,110,"Imán, Robustez, Piel Eléctrica"
0076-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/76.png,Se lanza montaña abajo y deja un surco desde la cima hasta el pie. Es mejor mantenerse alejado.,140,300,"Cabeza Roca, Robustez, Velo Arena"
0076-B,B - Alola,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10111.png,Se lanza montaña abajo y deja un surco desde la cima hasta el pie. Es mejor mantenerse alejado.,170,316,"Imán, Robustez, Piel Eléctrica"
0077-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/77.png,"Cuando nace, apenas puede tenerse en pie. Pero va fortaleciendo las patas en cuanto empieza a galopar.",100,30,"Fuga, Absorbe Fuego, Cuerpo Llama"
0077-B,B - Galar,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10162.png,"Cuando nace, apenas puede tenerse en pie. Pero va fortaleciendo las patas en cuanto empieza a galopar.",80,24,"Fuga, Velo Pastel, Anticipación"
0078-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/78.png,Galopa a casi 240 km por hora. Su crin ardiente parece una flecha cuando corre.,170,95,"Fuga, Absorbe Fuego, Cuerpo Llama"
0078-B,B - Galar,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10163.png,Galopa a casi 240 km por hora. Su crin ardiente parece una flecha cuando corre.,170,80,"Fuga, Velo Pastel, Anticipación"
0079-A,A - Base,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/79.png,"Descansa ocioso junto al agua. Si algo muerde su cola, no lo notará en todo el día.",120,36,"Despiste, Ritmo Propio, Regeneración"
0079-B,B - Galar,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10164.png,"Descansa ocioso junto al agua. Si algo muerde su cola, no lo notará en todo el día.",120,36,"Gula, Ritmo Propio, Regeneración"
